Subject,Item,VerbType,Position,RT,NPPredictability
Subj3,Item10,NonPrefV,NP_1,490.94 ,0.20 
Subj3,Item10,NonPrefV,NP_2,404.86 ,0.20 
Subj3,Item11,AspV,Verb,626.86 ,0.00 
Subj3,Item11,AspV,NP,791.56 ,0.00 
Subj3,Item11,AspV,NP_1,613.57 ,0.00 
Subj3,Item11,AspV,NP_2,666.88 ,0.00 
Subj3,Item12,PrefV,Verb,528.00 ,0.45 
Subj3,Item12,PrefV,NP,744.64 ,0.45 
Subj3,Item12,PrefV,NP_1,504.75 ,0.45 
Subj3,Item12,PrefV,NP_2,449.95 ,0.45 
Subj3,Item13,NonPrefV,Verb,568.45 ,0.05 
Subj3,Item13,NonPrefV,NP,639.10 ,0.05 
Subj3,Item13,NonPrefV,NP_1,707.13 ,0.05 
Subj3,Item13,NonPrefV,NP_2,564.34 ,0.05 
Subj3,Item14,AspV,Verb,498.64 ,0.05 
Subj3,Item14,AspV,NP,844.04 ,0.05 
Subj3,Item14,AspV,NP_1,647.97 ,0.05 
Subj3,Item14,AspV,NP_2,476.02 ,0.05 
Subj3,Item15,PrefV,Verb,600.52 ,0.20 
Subj3,Item15,PrefV,NP,622.54 ,0.20 
Subj3,Item15,PrefV,NP_1,403.12 ,0.20 
Subj3,Item15,PrefV,NP_2,496.46 ,0.20 
Subj3,Item16,NonPrefV,Verb,696.63 ,0.20 
Subj3,Item16,NonPrefV,NP,570.00 ,0.20 
Subj3,Item16,NonPrefV,NP_1,576.67 ,0.20 
Subj3,Item16,NonPrefV,NP_2,711.33 ,0.20 
Subj3,Item17,AspV,Verb,934.38 ,0.00 
Subj3,Item17,AspV,NP,1086.32 ,0.00 
Subj3,Item17,AspV,NP_1,448.26 ,0.00 
Subj3,Item17,AspV,NP_2,396.34 ,0.00 
Subj3,Item18,PrefV,Verb,535.55 ,0.40 
Subj3,Item18,PrefV,NP,1055.58 ,0.40 
Subj3,Item18,PrefV,NP_1,482.90 ,0.40 
Subj3,Item18,PrefV,NP_2,493.70 ,0.40 
Subj3,Item19,NonPrefV,Verb,571.47 ,0.30 
Subj3,Item19,NonPrefV,NP,562.08 ,0.30 
Subj3,Item19,NonPrefV,NP_1,473.45 ,0.30 
Subj3,Item19,NonPrefV,NP_2,468.13 ,0.30 
Subj3,Item20,AspV,Verb,506.87 ,0.20 
Subj3,Item20,AspV,NP,819.59 ,0.20 
Subj3,Item20,AspV,NP_1,512.18 ,0.20 
Subj3,Item20,AspV,NP_2,793.56 ,0.20 
Subj3,Item21,PrefV,Verb,555.25 ,0.55 
Subj3,Item21,PrefV,NP,738.54 ,0.55 
Subj3,Item21,PrefV,NP_1,530.53 ,0.55 
Subj3,Item21,PrefV,NP_2,427.23 ,0.55 
